"検査開始","レバー本体、配線位置が下に来るようにして下さい。\n銘板無し　イネーブル有り\nグリップ2有り\n「開始/次へ」","1","","","","","","oOP","oOP","oOP","","","","","","","","","","","","","","","","","","","","","","oOP","oOP","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","","",""
"Y軸動作","Y軸（B方向）\n\n　　　　　「↓」\n\n「開始/次へ」\n","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oHi","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDh","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","9","","","1","","","","","","","",""
"Y軸動作","Y軸（A方向）\n\n　　　　　「↑」\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oHi","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDh","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","9","","","1","","","","","","","",""
"Y軸動作","レバーを戻して下さい\n\n\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oHi","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","","1","","1","","","","","","","",""
"X軸動作","X軸（B方向）\n\n　　　　　「←」\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oOP","oHi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDh","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","","1","9","","","","","","","","",""
"X軸動作","X軸（A方向）\n\n　　　　　「→」\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oOP","oHi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDo","iDh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","","1","9","","","","","","","","",""
"X軸動作","レバーを戻して下さい\n\n\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oOP","oOP","oHi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","","1","","1","","","","","","","",""
"θ軸動作","θ軸（B方向）\n\n　　　　　「左」\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oHi","oOP","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDh","iDo","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","9","","","1","","1","","","","","","","",""
"θ軸動作","θ軸（A方向）\n\n　　　　　「右」\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oHi","oOP","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDh","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","9","","","1","","1","","","","","","","",""
"θ軸動作","レバーを戻して下さい。\n\n\n\n「開始/次へ」","1","","","","","","oHi","oHi","oHi","","","","","","","","","","","","","","","","","","","","","","oHi","oOP","oOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","iDo","iDo","iDo","iDo","iDo","iDo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","","1","","1","","","","","","","",""
